# case=3, n=1000, m=10000, p_member=0.50, p_insert=0.25, p_delete=0.25, trial=20250828_173514
impl,threads,elapsed_ms
serial,1,24.572
serial,1,24.423
serial,1,25.509
serial,1,24.292
serial,1,24.844
mutex,1,24.825
rwlock,1,27.159
mutex,1,26.019
rwlock,1,25.389
mutex,1,26.069
rwlock,1,24.665
mutex,1,27.229
rwlock,1,26.667
mutex,1,24.478
rwlock,1,27.021
mutex,2,30.684
rwlock,2,42.235
mutex,2,30.699
rwlock,2,39.695
mutex,2,31.786
rwlock,2,40.657
mutex,2,29.639
rwlock,2,40.853
mutex,2,30.635
rwlock,2,45.777
mutex,4,31.508
rwlock,4,46.129
mutex,4,34.926
rwlock,4,43.112
mutex,4,31.564
rwlock,4,45.155
mutex,4,31.382
rwlock,4,44.668
mutex,4,32.031
rwlock,4,44.856
mutex,8,33.385
rwlock,8,43.772
mutex,8,31.983
rwlock,8,45.470
mutex,8,32.092
rwlock,8,45.792
mutex,8,32.408
rwlock,8,43.214
mutex,8,32.524
rwlock,8,43.671
