# case=2, n=1000, m=10000, p_member=0.90, p_insert=0.05, p_delete=0.05, trial=20250828_173514
impl,threads,elapsed_ms
serial,1,9.652
serial,1,11.272
serial,1,11.610
serial,1,9.960
serial,1,11.869
mutex,1,11.386
rwlock,1,10.535
mutex,1,10.732
rwlock,1,10.549
mutex,1,10.142
rwlock,1,10.604
mutex,1,10.830
rwlock,1,10.742
mutex,1,10.863
rwlock,1,11.690
mutex,2,12.142
rwlock,2,14.620
mutex,2,13.186
rwlock,2,13.932
mutex,2,12.671
rwlock,2,13.323
mutex,2,13.667
rwlock,2,14.321
mutex,2,12.484
rwlock,2,13.906
mutex,4,12.858
rwlock,4,16.593
mutex,4,13.632
rwlock,4,17.147
mutex,4,14.905
rwlock,4,16.670
mutex,4,13.589
rwlock,4,17.415
mutex,4,12.426
rwlock,4,16.756
mutex,8,14.161
rwlock,8,16.487
mutex,8,13.618
rwlock,8,16.568
mutex,8,14.567
rwlock,8,17.381
mutex,8,14.655
rwlock,8,16.166
mutex,8,15.292
rwlock,8,16.784
